model,domain,architecture,total_params,layer,row,epsilon,baseline_loss,perturbed_loss,relative_loss_change,relative_ci95_low,relative_ci95_high
HuggingFaceTB/SmolLM2-360M,text,decoder,361821120,3,577,0.5,2.992406347465142,2.9924094911937376,1.0505687499059314e-06,-2.776709437412232e-05,2.8831835714876254e-05
HuggingFaceTB/SmolLM2-360M,text,decoder,361821120,3,577,1.0,2.992406347465142,2.9924473783787917,1.371167845723128e-05,-4.6734068686865295e-05,6.879664153299273e-05
HuggingFaceTB/SmolLM2-360M,text,decoder,361821120,3,934,0.5,2.992406347465142,2.9927580341854205,0.00011752639162009029,9.633406425141119e-05,0.00014134820160759375
HuggingFaceTB/SmolLM2-360M,text,decoder,361821120,3,934,1.0,2.992406347465142,2.993168371988136,0.00025465275584639097,0.00020913087384382206,0.0003044925578429331
HuggingFaceTB/SmolLM2-1.7B,text,decoder,1711376384,7,317,0.5,2.6145340592893835,2.6145169455571184,-6.545614582564039e-06,-2.5825968680776994e-05,1.0461198087764553e-05
HuggingFaceTB/SmolLM2-1.7B,text,decoder,1711376384,7,317,1.0,2.6145340592893835,2.6145129418419764,-8.076944850709427e-06,-4.808491518070357e-05,2.6840359134712658e-05
HuggingFaceTB/SmolLM2-1.7B,text,decoder,1711376384,7,582,0.5,2.6145340592893835,2.614545955769936,4.55013409000985e-06,-6.939268718973674e-06,1.6156708435145022e-05
HuggingFaceTB/SmolLM2-1.7B,text,decoder,1711376384,7,582,1.0,2.6145340592893835,2.614570341166218,1.3876995293121746e-05,-8.460240459634938e-06,3.6283229139806276e-05
HuggingFaceTB/SmolLM2-1.7B,text,decoder,1711376384,7,1422,0.5,2.6145340592893835,2.6145318711013945,-8.369322943997335e-07,-1.3876742649133745e-05,1.2800599040291653e-05
HuggingFaceTB/SmolLM2-1.7B,text,decoder,1711376384,7,1422,1.0,2.6145340592893835,2.6145412449547454,2.7483540848555127e-06,-2.133134185247523e-05,2.9630166718524812e-05
HuggingFaceTB/SmolLM2-1.7B,text,decoder,1711376384,7,1547,0.5,2.6145340592893835,2.614492665270303,-1.5832273797833984e-05,-2.6868085528828534e-05,-3.106235506233938e-06
HuggingFaceTB/SmolLM2-1.7B,text,decoder,1711376384,7,1547,1.0,2.6145340592893835,2.614464648819716,-2.6547930948097482e-05,-4.850596867196635e-05,-1.9635008814655632e-06
HuggingFaceTB/SmolLM2-1.7B,text,decoder,1711376384,7,2043,0.5,2.6145340592893835,2.614502994664261,-1.188151480073741e-05,-2.2543870911347607e-05,-1.5420737215157445e-06
HuggingFaceTB/SmolLM2-1.7B,text,decoder,1711376384,7,2043,1.0,2.6145340592893835,2.6144867886955723,-1.807993039651355e-05,-3.907083948955726e-05,2.3930241202384686e-06
